diet_type,item_no,name,category,meal,ingredients,serving_size,calories,cholesterol (mg),total_fats (g),protein (g),carbohydrates (g),sugar (g),calcium,sodium (mg),potassium (mg),images
Veg,1,Aloo Paratha,Bread,Breakfast,"cilantro, green chilie, potato, ginger, cumin, chili powder, paratha, masala",1 piece(131g),300,0.8,11,6.1,46,4.2,,370,316,https://www.vegrecipesofindia.com/wp-content/uploads/2009/08/aloo-paratha-recipe-2.jpg
Veg,2,Plain Rice,Rice,Lunch,"Water, salt",1 cup(158g),205,0,0.4,4.3,45,0.1,,1.6,55,https://bigoven-res.cloudinary.com/image/upload/t_recipe-1280/plain-white-rice-f7391e.jpg
Non-veg,3,Indian Chilli Chicken,Poultry,Lunch,"soy sauce ,garlic ,corn flour,egg, green chili pepper,fresh ginger, chili powder,boneless chicken, curry powder, curry powder,green bell pepper",1 cup(214g),277,90,12,21,21,4.4,,355,466,https://th.bing.com/th/id/OIP.2N5nyO2RuyOgFKUvGlpxNQHaHa?pid=ImgDet&w=159&h=159&c=7&dpr=1.65
Veg,4,Aloo Jeera,Vegetable,Lunch,"salt, cilantro, jalapeno pepper, potato, lemon juice, chili powder, turmeric, cumin seed",1 cup(143g),172,0,5.6,3.5,28,1.8,,315,727,https://www.cubesnjuliennes.com/wp-content/uploads/2021/02/Jeera-Aloo-Recipe-500x500.jpg
Veg,5,Aloo Gobi,Vegetable,Dinner,"salt, peanut oil, cauliflower, cilantro, potato, fresh ginger, cumin, turmeric, water, serrano pepper, coriander",1 cup(155g),111,0,5.5,2.5,15,1.7,,230,390,https://www.justaveragejen.com/wp-content/uploads/2020/08/aloo-gobi-featured.jpg
Veg,6,Dal,Vegetable,Lunch,"olive oil, salt, tomato, garlic, cilantro, jalapeno, onion, ginger, turmeric, cardamom, cumin seed, red lentil",1 cup (214g),222,0,4.2,14,34,4.5,,431,713,https://www.daringgourmet.com/wp-content/uploads/2013/06/Masoor-Dal-3-square-scaled.jpg
Veg,7,Dal,Vegetable,Dinner,"olive oil, salt, tomato, garlic, cilantro, jalapeno, onion, ginger, turmeric, cardamom, cumin seed, red lentil",1 cup (214g),222,0,4.2,14,34,4.5,,431,713,https://www.daringgourmet.com/wp-content/uploads/2013/06/Masoor-Dal-3-square-scaled.jpg
Veg,8,Lauki Sabji,Vegetable,Lunch,"salt,tomatoe, onion, oil ,chili powder,  turmeric,cumin seed, garam masala, garlic paste,calabash gourd",1 cup (239g),69,0,2.7,1.9,11,2.5,,166,459,https://spoonsofflavor.com/wp-content/uploads/2021/06/Lauki-Ki-Sabzi.jpg
Veg,9,Plain Rice,Rice,Dinner,"Water, salt",1 cup(158g),205,0,0.4,4.3,45,0.1,,1.6,55,https://bigoven-res.cloudinary.com/image/upload/t_recipe-1280/plain-white-rice-f7391e.jpg
Veg,10,Palak Panner,Vegetable,Dinner,"salt,spinach, jalapeno,onion,fresh ginger,paneer,bay leaf, fenugreek,cumin seed, garam masala,light cream,oil,pepper",1 cup (200g),366,56,30,15,10,0.55,,871,559,https://www.cookwithmanali.com/wp-content/uploads/2019/08/Palak-Paneer-500x500.jpg
Non-veg,11,Chicken tikka masala,Poultry,Lunch,"salt, yogurt, cream, tomato sauce, butter, garlic, cilantro, cinnamon, jalapeno, ginger, lemon juice, black pepper, cumin, paprika, chicken breast, cayenne pepper ",1 cup(236g),353,166.5,21.5,33,9.5,5.5,,2072,748,https://th.bing.com/th/id/OIP.3S2NluwCzCc4j46PNaRGiwHaHa?w=186&h=186&c=7&r=0&o=5&dpr=1.65&pid=1.7
Veg,12,Potato Sabji,Vegetable,Dinner,"salt, cilantro,jalapeno, onion,potatoe, vegetable oil,chili powder,turmeric,fenugreek,garlic paste",1 cup (160g),141,0,2.7,3.5,27,3.5,,217,642,https://yummyindiankitchen.com/wp-content/uploads/2015/12/aloo-ki-sabzi-recipe-320x320.jpg?ezimgfmt=rs:250x250/rscb4/ng:webp/ngcb4
Non-veg,13,Fish Curry,Seafood,Dinner,"cashews ,canola oil ,salt ,tomato ,garlic ,cilantro ,onion, fresh ginger ,vegetable broth ,cumin ,white fish ,spice coriander, cayenne ",1 serving(210g),307,109,15,36,6.1,2.7,,745,711,https://www.whiskaffair.com/wp-content/uploads/2020/10/Goan-Fish-Curry-2-3.jpg
Veg,14,Aloo Masala,Vegetable,Dinner,"olive oil, tomato, garlic, cilantro, onion, potato, ginger root, bay leave, chili powder, turmeric, masala, chili pepper, coriander",1 cup(195g),242,0,14,3.8,27,4.5,,41,724,https://silkroadrecipes.com/wp-content/uploads/2020/08/South-Indian-Potatoes-Aloo-Masala-square.jpg
Veg,15,Saag Aloo,Vegetable,Lunch,"garlic, onion, potato, fresh ginger, raw spinach, vegetable oil, cumin, turmeric, garam masala",1 cup(195g),160,0,6.7,4.9,23,2.3,,80,968,https://www.kitchensanctuary.com/wp-content/uploads/2021/03/Saag-Aloo-square-FS-45.jpg
Veg,16,Aloo Naan,Bread,Breakfast,"cilantro, green chilie, potato, ginger, cumin, chili powder, paratha, masala",1 piece(131g),300,0,11,6.1,46,4.2,,370,316,https://silvercastlerestaurant.ca/wp-content/uploads/2021/06/aloo-naan.jpg
Veg,17,Aloo Curry,Curry,Lunch,"salt, tomato, jalapeno, onion, potatoes, vegetable oil, cumin, chili powder, turmeric, fenugreek, water, garlic paste, coriander",1 cup(238g),204,0,13,2.9,21,4.7,,331,550,https://greenbowl2soul.com/wp-content/uploads/2019/04/Potato-curry-1.jpg
Veg,18,Aloo Tikka,Starters,Lunch,"flour, cream, potatoes, oil, chili powder, turmeric, garam masala, whole milk yogurt, coriander, ginger garlic paste",1 cup(121g),229,17,17,3.5,18,2.6,,85,445,https://photo2.foodgawker.com/wp-content/uploads/2015/11/2469393.jpg
Veg,19,Baingan Bharta,Vegetable,Lunch,"salt, tomato, garlic clove, cilantro, eggplant, jalapeno, onion, vegetable oil, lime juice, turmeric, garam masala",1 cup(234g),117,0,5.6,2.1,17,7,,356,385,https://www.whiskaffair.com/wp-content/uploads/2019/05/Baingan-Bharta-2-3.jpg
Veg,20,Mutter Panner,Curry,Dinner,"tomatoe, clove, garlic, green chilie, onion, green pea, ginger, oil, paneer, chili powder, turmeric, ground coriander, cumin seed, masala, water",1 serving(440g),599,69,46,23,25,9.2,,1026,455,https://www.krumpli.co.uk/wp-content/uploads/2020/02/Matar-Paneer-3-720x720.jpg
Veg,21,Saag Paneer,Vegetable,Lunch,"salt, spinach, jalapeno, onion, fresh ginger, sugar, oil, pepper, paneer, bay leaf, fenugreek, cumin seed, garam masala, light cream",1 cup(200g),366,56,30,15,10,4.5,,871,559,https://assets.bonappetit.com/photos/5c8a90c7623f1366f6166492/1:1/w_2560%2Cc_limit/Saag-Paneer-but-with-Feta.jpg
Veg,22,Paneer Kabab,Starters,Dinner,"marinade, onion, green bell pepper, paneer, red bell pepper",1 skewer(178g),280,41,21,13,12,6.9,,1074,313,https://www.carveyourcraving.com/wp-content/uploads/2021/10/paneer-tikka-skewers.jpg
Veg,23,Mutter Paneer,Curry,Lunch,"tomatoe, clove, garlic, green chilie, onion, green pea, ginger, oil, paneer, chili powder, turmeric, ground coriander, cumin seed, masala, water",1 serving(440g),599,69,46,23,25,9.2,,1026,455,https://www.krumpli.co.uk/wp-content/uploads/2020/02/Matar-Paneer-3-720x720.jpg
Veg,24,Paneer Korma,Curry,Dinner,"curry sauce, paneer",1 cup(236g),367,62,29,17,10,4.1,,633,265,https://www.whiskaffair.com/wp-content/uploads/2019/12/Paneer-Korma-2-3.jpg
Veg,25,Shahi Paneer,Curry,Lunch,"salt, tomato, heavy cream, garlic, clove, cilantro, onion, white sugar, oil, paneer, ground cumin, chili powder, ground turmeric, ground coriander, water",1 cup(242g),310,52,25,12,12,7.2,,555,444,https://www.spiceupthecurry.com/wp-content/uploads/2020/07/shahi-paneer-recipe-1-500x500.jpg
Veg,26,Chilli Paneer,Starters,Lunch,"soy sauce, salt, salt, garlic, corn flour, orn flour, jalapeno, onion, sugar, vegetable oil, vinegar, ketchup, reen pepper, panee, green onion, chili powder, chili powder, chili sauce, water, water",1 cup(233g),366,49,27,15,17,6.7,,1418,322,https://www.cookwithmanali.com/wp-content/uploads/2016/01/Chilli-Paneer-Restaurant-Style-500x500.jpg
Veg,27,Paneer Masala,Curry,Lunch,"cashew, salt, tomato, cream, butter, jalapeno, ginger, sugar, paneer, bay leaf, chili powder, fenugreek, garam masala, water, water",1 cup(198g),201,41,16,8.2,6.9,3.7,,503,291,https://www.whiskaffair.com/wp-content/uploads/2019/05/Paneer-Masala-1-3.jpg
Veg,28,Paneer Paratha,Bread,Breakfast,"alt, salt, butter, whole wheat flour, paneer, chili powder, garam masala, ghee, chili pepper, water, mango powder",1 piece(78g),176,20,7.8,7.7,21,1.1,,445,149,https://www.vidhyashomecooking.com/wp-content/uploads/2020/09/PaneerParathaRecipe.jpg
Veg,29,Khoya Paneer Curry,Curry,Dinner,"cashews, tomato, butter, milk, onion, sugar, paneer cheese, bay leaf, cumin, chili powder, fenugreek, garam masala, chili paste, ginger paste, coriander, khoya",1 cup(198g),289,52,19m,13,17,11,,493,241,https://s3-ap-south-1.amazonaws.com/betterbutterbucket-silver/shaheen-ali1460543574570e2055f2fb7.jpeg
Veg,30,Idli,Bread,Breakfast,"salt, vegetable oil, fenugreek, water, uncooked lentil, uncooked parboiled rice, poha",5 piece(195g),290,0,2.2,8,60,0.5,,37,205,https://static.toiimg.com/thumb/63379275.cms?imgsize=206657&width=800&height=800
Veg,31,Fruit Salad,Fruit,Breakfast,"pineapple, bananas, kiwi, grape, strawberries",1 cup(162g),97,0,0.5,1.4,24,16,,2.6,364,https://www.tarladalal.com/members/9306/big/big_summer_salad-10306.jpg?size=696X905
Veg,32,Palak Rice,Rice,Lunch,"salt, spinach, green chili peppe, onion, ginger, rice, oil, bay leaf, cumin, cloves, cardamom, garam masala, cinnamon stick",1 serving(401g),473,0,12,10,82,5,,1215,626,https://www.whiskaffair.com/wp-content/uploads/2016/09/Palak-Rice-2-3.jpg
Veg,33,Palak Paratha,Bread,Breakfast,"salt, flour, spinach, clove, garlic clove, green chili pepper,  oil, garam masala, ghee, water",1 piece(83g),160,9.4,6,4.1,23,0.6,,361,235,https://www.foodusmaximus.com/wp-content/uploads/2020/05/IMG_20200528_133025_MP-01-1-scaled-e1590689936283-400x400.jpg
Veg,34,Upma,Porridge,Breakfast,"salt, tomato, green hot chilly pepper, onion, ginger root, vegetable oil, cumin, mustard seed , water, farina seeds",1 cup(155g),132,0,4,3.4,21,2.7,,179,191,https://simmertoslimmer.com/wp-content/uploads/2014/02/Rava-Upma.jpg
Non-veg,35,Scrambled Triple Eggs,Poultry,Breakfast,"egg, oil, salted duck egg, preserved egg",1 serving(208g),454,1424,38,24,2.4,1.5,,1864,380,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2020%2F05%2F12%2F4521378.jpg
Veg,36,Fruit Juice (Cocktail),Beverages,Breakfast,"mixed fruits, sugar",1 glass(148.1g),80,0,0,0.2,19.4,18.1,,90.6,180.6,https://ristorantemassimo.com/wp-content/uploads/2019/03/grid5.jpg
Veg,37,Apple Juice,Beverages,Breakfast,"apple, sugar",1 cup(248g),114,0,0.3,0.3,28,24,,9.9,250,https://www.anightowlblog.com/wp-content/uploads/2014/11/Mulled-Cider-Sangria-Feature-1-300x300.jpg
Veg,38,Orange Juice,Beverages,Breakfast,"orange, sugar",1 cup(248g),112,0,0.5,1.7,26,21,,2.5,496,https://th.bing.com/th/id/OIP.YmMCdk1wfwmK9TGUxjKi3gAAAA?pid=ImgDet&rs=1
Veg,39,Brinjal Fry,Curry,Lunch,"salt, coconut milk, garlic clove, cilantro, eggplant, jalapeno, ginger root, vegetable oil, chilli powder, tomato puree, sesame seed, ground turmeric, ground coriander, fenugreek seed, cumin seed, yellow onion",1 cup(102g),142,0,12,1.2,8.2,2.9,,169,162,http://www.relishthebite.com/wp-content/uploads/2016/04/BrinjalRoast-7.jpg
Veg,40,Lime Juice,Beverages,Breakfast,"lemon, sugar",1 glass(150g),25,0,0,0.6,8.4,2.4,,36,165,https://th.bing.com/th/id/R.d5d4997ae19648b7a7e077df6909f0f9?rik=CUx3O%2fLLpIT7ug&riu=http%3a%2f%2fwww.shakahariblog.com%2fwp-content%2fuploads%2f2014%2f08%2fLime-Juice.jpg&ehk=sFnMT2kczfVLCAkZyHlVQsAUmY3HiT7KFE95fQ%2bbLHw%3d&risl=&pid=ImgRaw&r=0
Veg,41,Mango Juice,Beverages,Breakfast,"mango,sugar",1 cup(251g),128,0,0.1,0.3,33,31,,13,60,https://finmail-site-bucket.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2020/04/11142353/lassi_1-300x300.jpg
Veg,42,Dosa,Bread,Breakfast,"olive oil, salt, fenugreek, uncooked rice, water, uncooked lentil",2 piece(194g),336,0,7.4,7.8,58,0.3,,188,152,https://www.cookingcarnival.com/wp-content/uploads/2021/04/Instant-dosa-1-500x500.jpg
Veg,43,Ragi Dosa,Bread,Breakfast,"sour cream, salt, cilantro, jalapeno, onion, vegetable oil, rice flour, water, ragi flour",2 piece(160g),270,7.4,15.6,4,30,2,,136,122,https://i.pinimg.com/564x/6a/2d/d2/6a2dd2d4278be3232887be53aeed7e55--indian-snacks-indian-foods.jpg
Non-veg,44,Egg Dosa,Bread,Breakfast,"salt, cilantro, egg, jalapeno, onion, vegetable oil, dosa batter",1 piece(232g),205,186,9.6,9,21,3.1,,418,225,https://www.whiskaffair.com/wp-content/uploads/2018/12/Egg-Dosa-2-3-720x720.jpg
Veg,45,Onion Dosa,Bread,Breakfast,"salt, jalapeno, onion, dosa, coriander",1 piece(150g),191,0,3.9,4.6,35,2.6,,685,171,https://hirasweets.com/wp-content/uploads/2020/06/onion-rava-dosa-recipe-1-1-500x500.jpg
Veg,46,Poori Bhaji,"Fried, Vegetable",Breakfast,"salt, flour, green chili pepper, potato, ginger, vegetable oil, cumin, water, coriander, asafoetida",4 piece(351g),608,0,23,12,92,2.8,,1190,1184,https://restaurantinranikhet.in/wp-content/uploads/2020/05/Poori-Bhaji.jpg
Non-veg,47,Egg Paratha,Bread,Breakfast,"salt, cilantro, egg, jalapeno,onion, whole wheat flour, oil, garam masala",1 piece(106g),276,93,7.5,11,45,1.1,,111,289,https://static.toiimg.com/thumb/84547205.cms?imgsize=262619&width=800&height=800
Veg,48,Dal Fry,Curry,Dinner,"salt, tomato, lentil, jalapeno, onion, oil, lemon juice, cumin, chili powder, turmeric, fenugreek, cumin seed, garam masala, water, garlic paste, ginger paste, coriander",1 cup(200g),178,0,7.8,8.1,21,3.6,,376,452,https://foodoncall.co.in/wp-content/uploads/2017/10/dal-fry.jpg
Veg,49,Sabudana Khichdi,Porridge,Breakfast,"salt, jalapeno, potatoes, fresh ginger, sugar, oil, lemon juice, pearl tapioca, cumin, water, peanut",1 cup (184g),262,0,11,4.5,38,2.9,,256,403,https://www.indianhealthyrecipes.com/wp-content/uploads/2021/06/sabudana-khichdi-recipe-500x500.jpg
Veg,50,Green Moong Dal,Curry,Dinner,"salt, garlic, cilantro, jalapeno, fresh ginger, split pea, vegetable oil, lemon juice, canned tomatoes,ancho chile pepper, turmeric, cumin seed",1 cup(206g),236,0,2,16,41,5.8,,465,738,https://cdn.mamtaskitchen.com/images/10368/10368-1.jpg
Veg,51,Masala Rice,Rice,Dinner,"salt, tomato, jalapeno, onion, rice, oil, chili powder, turmeric, mustard seed, fennel, cumin seed, garam masala, coriander",1 cup(189g),207,0,5.4,3.9,36,2.9,,206,224,https://static.toiimg.com/thumb/86415772.cms?imgsize=69484&width=800&height=800
Non-veg,52,Egg Biryani,Rice,Dinner,"salt, tomato, hard boiled egg, jalapeno, onion, plain yogurt, potato, rice, vegetable oil, bay leaf, cumin, chili powder, masala, cinnamon stick, whole clove, greem cardamom, ginger garlic paste, star anise",1 cup(169g),222,98,7.9,6.7,31,2,,183,306,https://i2.wp.com/www.relishthebite.com/wp-content/uploads/2015/02/EGgBiryani-3.jpg
Veg,53,Veg Biryani,Rice,Lunch,"cashews, green beans, sweet potato, cauliflower, cilantro, onion, vegetable oil, lemon juice, mustard seed, uncooked rice, red chili pepper, curry paste, vegetable stock ",1 cup(169g),198,0,3.9,4.2,37,3.5,,312,257,https://www.cookwithmanali.com/wp-content/uploads/2020/05/Instant-Pot-Paneer-Biryani-500x500.jpg
Veg,54,Tomato Dal,Curry,Lunch,"salt, tomato, lentil, cilantro, jalapeno, onion, fresh ginger, chili powder, turmeric, cumin seed, ghee, water, garlic paste, curry leaves",1 cup(268g),223,16,7.7,12,29,5.5,,724,689,https://www.vegrecipesofindia.com/wp-content/uploads/2013/09/andhra-tomato-dal-recipe-31-1.jpg
Veg,55,Veg Pulao,Rice,Dinner,"mushrooms, salt, onion, rice, vegetable oil, scallion, red bell pepper",1 cup(244g),281,0,4.4,5.4,54,1.9,,1014,204,https://www.indianhealthyrecipes.com/wp-content/uploads/2018/07/pulao-recipe.jpg
Veg,56,Chole Curry,Curry,Lunch,"olive oil, tomato, garlic, cilantro, onion, ginger root, bay leaf, chili powder, turmeric, masala, chili pepper, coriander,canned chickpea",1 cup(195g),281,0,16,7.7,29,6.9,,240,379,https://www.whiskaffair.com/wp-content/uploads/2019/04/Chana-Masala-1-3.jpg
Veg,57,Kadhi Chawal,"Curry,Rice",Lunch,"salt, baking powder, cilantro, jalapeno, onion, fresh ginger, vegetable oil, oil, turmeric, mustard seed, whole milk yogurt, red chili pepper, gram flour, water",2 cup(462g),496,16,32,14,40,16,,973,836,https://1.bp.blogspot.com/-cM5q_dqq6o4/XQUn123lKmI/AAAAAAAAAG4/V8TqCi_sj2wQIdYN3kDg73qx1HIKcB4GQCLcBGAs/w256-h256-p-k-no-nu/kadhi-chawal-recipe.1024x1024-1.jpg
Non-veg,58,Kadhai Gosht,Curry,Dinner,"salt, tomatoes, cilantro, mutton, onion, vegetable oil, chili powder, turmeric, garam masala, garlic paste, red pepper flake",1 cup(246g),463,103,35,28,10,4,,555,619,https://www.yummytummyaarthi.com/wp-content/uploads/2021/09/1-1-500x500.jpg
Veg,59,Capsicum rice,Rice,Dinner,"salt, cinnamon, capsicum, oil, basmati rice, bay leaf, cumin, clove, cooked onion, coriander",1 cup(239g),342,0,11,6.2,57,3.1,,787,301,https://cdn3.foodviva.com/static-content/food-images/pulao-recipes/capsicum-rice-pulao/capsicum-rice-pulao.jpg
Veg,60,Bhindi Fry,Starters,Lunch,"salt, tomato, cilantro, jalapeno, okra, onion, oil, cumin, chili powder, turmeric, fenugreek, garam masala, coriander, dry mango powder, ginger garlic paste",1 cup(186g),196,0,17,2.9,12,5.5,,260,342,https://www.whiskaffair.com/wp-content/uploads/2018/12/Kurkuri-Bhindi-1-3.jpg
Non-veg,61,Chicken Kofta,Starters,Dinner,"garlic clove, cinnamon, ground ginger, kosher salt, onion, black pepper, gound cumin, fresh parsley, ground, allspice, ground chicken, ground coriander, cayenne pepper",1 piece(30g),51,25,2.7,5.8,1.3,0.2,,200,186,https://www.mirchitales.com/wp-content/uploads/2013/12/Chicken-Kofta-Salan-1.jpg
Non-veg,62,Cheese Omlette,Pancake,Breakfast,"eggs, vegetable oil, shredded cheddar",3 egg(192g),407,595,31,27,2.2,0.7,,459,236,https://cheeseknees.com/wp-content/uploads/2021/09/Cheese-Omelette-1-1-550x550.jpg
Non-veg,63,Egg White Omlette,Pancake,Breakfast,"salt, egg whites, oil, pepper",1 cup(163g),201,0,14,16,1.4,1.1,,684,246,https://healthyrecipesblogs.com/wp-content/uploads/2013/02/egg-white-omelet-featured.jpg
Veg,64,Gobi Curry,Curry,Lunch,"olive oil, salt, cauliflower, cumin, curry powder, mustard seed",1 cup(140g),61,0,3.8,2.7,5.9,2.9,,285,203,https://recipes.timesofindia.com/thumb/54693711.cms?imgsize=230683&width=800&height=800
Veg,65,Khaman Dhokla,Pancake,Breakfast,"coconut, salt, baking soda, cilantro, oil, lemon juice, turmeric, mustard seed, whole milk yogurt, gram flour, ginger paste",4 piece(232g),608,13.2,29.6,22.8,64,22.8,,1240,960,https://w2t5x8m2.rocketcdn.me/wp-content/uploads/2018/01/1200x1200-khaman-dhokla.jpg
Veg,66,Dhokli,Pancake,Breakfast,"salt, yogurt, garllic, baking soda, cilantro, jalapeno, fresh ginger, vegetable oil, oil, semolina, lime juice, sesame seed, turmeric",3 piece (168g),279,2.5,8.4,10.2,42,4.5,,483,318,https://www.spiceupthecurry.com/wp-content/uploads/2013/09/Dal-Dhokli-Gujarati-Recipe-500x500.jpg
Veg,67,Dal Baati,Curry,Dinner,"dal, ghee, baati",2 piece(330g),602,50,26,24,72,6.4,,648,1010,https://cdn.mygingergarlickitchen.com/images/350px/350px-1x1-dal-baati-churma.jpg
Veg,68,Pongal,Rice,Lunch,"cashews, fresh ginger, rice, pepper, cumin, ghee, mung bean",1 cup(207g),319,16,8.1,7.3,54,1,,3.4,207,https://www.indianhealthyrecipes.com/wp-content/uploads/2021/01/pongal-ven-pongal-500x500.jpg
Veg,69,Lemon Rice,Rice,Dinner,"butter, lemon juice, pepper, dried basil, lemon zest, uncooked rice, water",1 cup(180g),221,6.9,2.9,4.9,43,1.1,,104,122,https://static.toiimg.com/thumb/53870704.cms?imgsize=142559&width=800&height=800
