diet_type,item_no,name,category,meal,ingredients,serving_size,calories,cholesterol (mg),total_fats (g),protein (g),carbohydrates (g),sugar (g),calcium,sodium (mg),potassium (mg),images
Non-veg,207,Chow mein,Noodles,Dinner,"soy sauce, peanut oil, mung bean sprout, corn starch, egg noodles, sesame oil, green onion, chinese five spice, hot chili sauce, chicken breast, red bell pepper",1 cup(181g),295,58,15,18,22,1.9,,565,262,"https://static.wixstatic.com/media/05c508_160cd85d17a34e20b60b3ced042d29de~mv2.jpg/v1/fill/w_1000,h_1000,al_c,q_90,usm_0.66_1.00_0.01/05c508_160cd85d17a34e20b60b3ced042d29de~mv2.jpg"
Non-veg,208,Chow mein,Noodles,Dinner,"soy sauce, peanut oil, mung bean sprout, corn starch, egg noodles, sesame oil, green onion, chinese five spice, hot chili sauce, chicken breast, red bell pepper",1 cup(181g),295,58,15,18,22,1.9,,565,262,"https://static.wixstatic.com/media/05c508_160cd85d17a34e20b60b3ced042d29de~mv2.jpg/v1/fill/w_1000,h_1000,al_c,q_90,usm_0.66_1.00_0.01/05c508_160cd85d17a34e20b60b3ced042d29de~mv2.jpg"
Veg,209,Stuffed Eggplant,Curry,Lunch,"olive oil, breadcrumb, garlic, eggplant, parmesan cheese, white wine, fresh parsley, sweet italian sausage",1 cup(381g),750,45,43,30,57,8.2,,127,560,https://assets.zeezest.com/images/PROD_Bharli-baigan_1618234765354.jpg
Veg,210,Green Peas Masala,Curry,Lunch,"cashews, salt, tomato, butter, garlic, jalapeno, onion, fresh ginger, sugar, oil, chili powder, clove, whole milk yogurt, chana masala, 	frozen pea, coriander",1 cup(241g),149,8.5,7,4.7,19,8.3,,227,486,https://cakeworkorange.com/wp-content/uploads/2020/10/green-peas-masala-1.jpg
Non-veg,211,Mexican Rice,Rice,Lunch,"tomato sauce, onion, rice, vegetable oil, cumin, chicken broth",1 serving(274g),279,3.6,12,6,36,3.4,,318,263,https://keviniscooking.com/wp-content/uploads/2020/04/Authentic-Mexican-Rice-square.jpg
Veg,212,Chokha Ni Rotli,Bread,Dinner,"salt, oil, rice flour, water",1 piece(62g),93,0,2.6,1.2,16,0,,98,15,https://imgmedia.lbb.in/media/2020/11/5fb61ad10eb731347148db40_1605769937839.jpg
Non-veg,213,Andhra Chicken,Curry,Lunch,"cashew, cinnamon, jalapeno, onion, vegetable oil, onion, vegetable oil, lemon juice, pepper, clove, fennel seed,turmeric, ghee, ginger paste, coriander, curry leave, chicken meat",1 cup(233g),365,87,22,28,14,4.6,,119,497,https://www.kannammacooks.com/wp-content/uploads/Bangalore-Restaurant-Style-Andhra-Chilli-Chicken-Recipe-1-5.jpg
Non-veg,214,Fish Biryani,Rice,Lunch,"chicken stock,salt,tomatoes, yogurt,garlic,onion, potatoes,vegetable oil,ginger,black pepper,chili powder,white fish,clove,saffron,turmeric, cardamom,uncooked rice,cinnamon stick,mint",1 cup (205ggrams),296,50,10,19,31,3.3,,413,576,https://www.whiskaffair.com/wp-content/uploads/2014/08/Fish-Biryani-5.jpg
Non-veg,215,Malabar Shrimp Curry,Curry,Lunch,"tomatoes, shrimp, coconut milk, garlic, coconut oil, chili, fresh ginger, chili powder, shallot, turmeric, mustard seed, tamarind, water, red onion",1 cup(274g),283,172,16,22,15,6.6,,817,631,https://www.licious.in/blog/wp-content/uploads/2021/01/malabar-prawn-curry.jpg
Veg,216,Indian Halwa,Sweeteners,Lunch,"cashew,raisin,carrots,sugar,whole milk,cardamom,ghee",1 cup (228g),275,30,13,5.6,35,30,,103,443,https://cuminindiancuisine.com/wp-content/uploads/2021/05/Gajar-ka-halwa.png
Non-veg,217,Butter Chicken,Curry,Dinner,"chicken, salt, yogurt, peanut oil, 	butter, garlic, corn starch, onion, lemon juice, black pepper, bay leaf, cumin, chili powder, tomato puree, shallot, masala, cayenne pepper, cayenne pepper",1 cup(240g),355,92,23,23,14,6.7,,251,610,https://www.licious.in/blog/wp-content/uploads/2020/10/butter-chicken-.jpg
Veg,218,Makhani Dal,Curry,Dinner,"tomato, lentil, cream, butter, garlic cloves, onion, fresh ginger, oil, chili powder, red kidney bean, cumin seed, garam masala",1 cup(253g),427,57,24,16,39,6,,482,733,https://www.kannammacooks.com/wp-content/uploads/dal-makhani-recipe-cream-1-3.jpg
Non-veg,219,Tandoori Chicken,Starters,Dinner,"garlic, cilantro, onion, ginger root, 	lemon juice, masala, whole milk yogurt, chicken pieces, cayenne pepper",1 piece(200g),263,135,12,31,6.1,3.7,,132,428,https://www.licious.in/blog/wp-content/uploads/2020/12/Tandoori-Chicken.jpg
Veg,220,Chole Bhature,Fried,Dinner,"chole masala, bhatura",1 bhatura with chole(281g),511,5.7,27,13,59,8.6,,507,526,"https://static.wixstatic.com/media/05c508_1bd0d1a3f4484b849bc78fec26f86ccb~mv2.jpg/v1/fill/w_1000,h_1000,al_c,q_90,usm_0.66_1.00_0.01/05c508_1bd0d1a3f4484b849bc78fec26f86ccb~mv2.jpg"
Non-veg,221,Shrimp Bhuna,Curry,Lunch,"salt, shrimp, cloves garlic, cilantro, jalapeno, lemon. onion, vegetable oil, turmeric, garam masala, water, cayenne",1 cup(209g),241,232,11,26,8.4,2.1,,1240,323,https://www.licious.in/blog/wp-content/uploads/2022/02/shutterstock_1488206756-min.jpg
Veg,222,Lemon Rice,Rice,Lunch,"butter, lemon juice, pepper, dried basil, lemon zest, uncooked rice, water",1 cup(180g),221,6.9,2.9,4.9,43,1.1,,104,122,https://fitelo.co/wp-content/uploads/elementor/thumbs/Website-Pictures-11-p10mrqqis0navm4qurtamofoen4ygu87ok9r2zdn2o.jpg
Veg,223,Mint Pulao,Rice,Dinner,"salt, garlic clove, green chili pepper, onion, vegetable oil, basmati rice, cumin, mint leaf, red chili pepper",1 cup(289g),342,0,10,6.8,557,5.5,,787,420,"https://static.wixstatic.com/media/4c8c47_58afb5cfd4cf4358ad88da9a4a1f9822~mv2_d_1400_1400_s_2.jpg/v1/fill/w_1000,h_1000,al_c,q_90,usm_0.66_1.00_0.01/4c8c47_58afb5cfd4cf4358ad88da9a4a1f9822~mv2_d_1400_1400_s_2.jpg"
Veg,224,Rajma Pulao,Rice,Lunch,"salt, tomatoes, butter, clove garlic, cilantro, jalapeno, onion, fresh ginger, rice, oil, pepper, chili powder, turmeric, kidney bean, garam masala, water, coriander",1 cup(250g),235,1.5,3.4,9.5,43,2.6,,354,505,https://th.bing.com/th/id/OIP.DHXC3UXpNCCHOs06EQDE_wAAAA?w=177&h=180&c=7&r=0&o=5&dpr=1.65&pid=1.7
Veg,225,Apple,Fruit,Breakfast,,1 medium(182g),95,0,0.3,0.5,25,19,,1.8,195,https://th.bing.com/th/id/OIP.-gIOAOj6Lq-sgbQfVh_C2gHaF7?w=223&h=180&c=7&r=0&o=5&dpr=1.5&pid=1.7
Veg,226,Orange,Fruit,Breakfast,,1 fruit(140g),69,0,0.2,1.3,18,12,,1.4,232,https://media.istockphoto.com/photos/bitter-orange-daidai-picture-id462608983?k=6&m=462608983&s=612x612&w=0&h=IOiQVfraJnrIw58RRUVV_0wv9I2OCps17iijoEfohw0=
Veg,227,Mango,Fruit,Breakfast,,1 fruit(336g),202,0,1.3,2.8,50,46,,3.4,564,https://momobud.sg/wp-content/uploads/2021/02/Palmer-Mango.jpg
Veg,228,Peach,Fruit,Breakfast,,1 large(175g),68,0,0.4,1.6,17,15,,0,333,https://th.bing.com/th/id/OIP.9LmEKGScy0wJ3GDGqIe9pwHaGM?pid=ImgDet&rs=1
Veg,229,Grapes,Fruit,Breakfast,,10 grapes(49g),34,0,0.1,0.4,8.9,7.6,,1,94,https://www.grapesfromcalifornia.com/wp-content/uploads/2017/03/green-grapes-2_450x450_acf_cropped.jpg
Veg,230,Pineapple,Fruit,Breakfast,,1 chunk(166g),82,0,0.2,0.9,22,16.2,,1.7,180,https://th.bing.com/th/id/OIP.n_QeNs3Uw_wQpJRgcKBW7gHaGu?pid=ImgDet&rs=1
Veg,231,Pomegranate,Fruit,Breakfast,,1 pomegranate(282g),234,0,3.3,4.7,53,39,,8.5,666,https://th.bing.com/th/id/OIP.1HUEpqFntmyOyyLZD-aflAHaHa?pid=ImgDet&w=1800&h=1800&rs=1
Veg,232,Cherry,Fruit,Breakfast,,6 cherry(49.2g),31,0,0.1,0.5,7.8,6.6,,0,108,https://img.thrfun.com/img/003/806/cherries_tx2.jpg
Veg,233,Guava,Fruit,Breakfast,,1 guava(165g),112,0,1.6,4.2,24,15,,3.3,688,https://image.izettle.com/product/1600x1600/8nIcXJ9GEeqZsR864GeZmw-hjnxHOj9Eeq8eznn4uU3Wg.jpeg
Veg,234,Apricot,Fruit,Breakfast,,1 apricot(35g),17,0,0.1,0.5,3.9,3.2,,0.3,91,https://cdn.shopify.com/s/files/1/2971/2126/products/Apricot_Kernel_57ca46cf-ffcc-4f0c-a8e0-931f827efc05_2000x.jpg?v=1528753409
Veg,235,Grapefruit,Fruit,Breakfast,,1 fruit(246g),104,0,0.3,1.9,26,17,,0,332,https://th.bing.com/th/id/OIP.5hFx6pyGoWHrq8wEpLw5AQHaHa?pid=ImgDet&rs=1
Veg,236,Kiwi,Fruit,Breakfast,,1 fruit(69g),42,0,0.4,0.8,10,6.2,,2.1,215,https://fruituncle.in/product-images/2020/01/31/538/large/kiwi-large-size-1pc-1.jpg
Veg,237,Plum,Fruit,Breakfast,,1 fruit(66g),30,0,0.2,0.5,7.5,6.5,,0,104,https://th.bing.com/th/id/OIP.1piCGvXCCzSasxcoem_7BQHaHa?pid=ImgDet&w=500&h=500&rs=1
Veg,238,Strawberry,Fruit,Breakfast,,5 large(90g),29,0,0.3,0.6,6.9,4.4,,0.9,138,https://yt3.ggpht.com/a/AGF-l7-1kUFzo-lRJOPZznJEyG9Q28NsuJB_fVulKQ=s900-c-k-c0xffffffff-no-rj-mo
Veg,239,Banana,Fruit,Breakfast,,1 meduim(118g),105,0,0.4,1.3,27,14,,1.2,422,https://th.bing.com/th/id/OIP.dBLIvc3EOdJNS5f1emKwYwHaHa?pid=ImgDet&rs=1
Veg,240,Pear,Fruit,Breakfast,,1 meduim(178g),101,0,0.3,0.6,27,17,,1.8,206,https://shop2.arborday.org/data/default/images/catalog/600/Turnkey/1/1-894.jpg
Veg,241,Litchi,Fruit,Breakfast,,1 fruit(190g),125,0,0.8,1.6,31,29,,1.9,325,https://th.bing.com/th/id/OIP.BlQTfbebQkoIQeqrHPBLeQHaHa?pid=ImgDet&rs=1
Veg,242,Blackberry,Fruit,Breakfast,,1 blackberry(6.5g),3,0,0,0.1,0.6,0.3,,0.1,11,https://fruitlayer.com/media/k2/items/cache/d61d44254608dd06ccdd2ff02982d14d_XL.jpg
Veg,243,Date,Fruit,Breakfast,,1 date(7.1g),20,0,0,0.2,5.3,4.5,,0.1,47,https://uaemoments.awicdn.com/site-images/sites/default/files/e7awi-prod/article/a/4/292305/de5db78e9e261ad1cd62eec7a03665b64a81a7ee-170718172220.jpg?preset=inner-img4&rnd=12344&save-png=1
Veg,244,Dragonfruit,Fruit,Breakfast,,1 fruit(198g),61,0,0.5,1.1,15,9,,6.9,312,https://th.bing.com/th/id/OIP.e1PJKX6qVOaKpS6S7WYQDwHaHa?pid=ImgDet&rs=1
Veg,245,Papaya,Fruit,Breakfast,,1 piece(145g),62,0,0.4,0.7,16,11,,12,264,https://th.bing.com/th/id/OIP.nak1Z4i2oAWflE6i3F7qegAAAA?pid=ImgDet&w=200&h=200&rs=1
Veg,246,Fig,Fruit,Breakfast,,1 medium(50g),37,0,0.1,0.4,9.6,8.1,,0.5,116,https://th.bing.com/th/id/OIP.NfwAuSyvAQH9hIrpk1HXhwHaHa?pid=ImgDet&rs=1
Veg,247,Custard Apple,Fruit,Breakfast,,1 pulp(250g),235,0,0.7,5.2,59,,,23,618,https://jooinn.com/images/custard-apple-1.jpg
Veg,248,Watermelon,Fruit,Breakfast,,1 wedge(286g),86,0,0.4,1.7,22,18,,2.9,320,https://th.bing.com/th/id/OIP.xPvL_Rc3HpbkWkk8S01rVQHaHa?pid=ImgDet&rs=1
Veg,249,Muskmelon,Fruit,Breakfast,,1 fruit(177g),60,0,0.3,473,14,14,,28,473,https://www.globalfoodcorridors.com/wp-content/uploads/2019/10/Honeydew-Melon.jpg
Veg,250,Avacado,Fruit,Breakfast,,1 avacado(201g),322,0,29,4,17,1.3,,14,975,https://cdn.shopify.com/s/files/1/2971/2126/products/Apricot_Kernel_57ca46cf-ffcc-4f0c-a8e0-931f827efc05_2000x.jpg?v=1528753409
Veg,252,Chickoo,Fruit,Breakfast,,1 chickoo(170g),141,0,1.9,0.8,34,,,20,328,https://5.imimg.com/data5/VX/YO/MY-26728858/fresh-chiku-500x500.jpg
Veg,253,Raspberry,Fruit,Breakfast,,1 raspberry(2g),1,0,0,0,0.2,0.1,,0,3,https://img.crocdn.co.uk/images/products2/pl/20/00/01/78/pl2000017889.jpg?width=940&height=940
Veg,254,Green Apple,Fruit,Breakfast,,1 medium(182g),95,0,0.3,0.5,25,19,,1.8,195,https://th.bing.com/th/id/OIP.sC2qNHypADmSFtYQZgbMkwHaHa?pid=ImgDet&rs=1
Veg,255,Apple,Fruit,Snacks,,1 medium(182g),95,0,0.3,0.5,25,19,,1.8,195,https://th.bing.com/th/id/OIP.-gIOAOj6Lq-sgbQfVh_C2gHaF7?w=223&h=180&c=7&r=0&o=5&dpr=1.5&pid=1.7
Veg,256,Orange,Fruit,Snacks,,1 fruit(140g),69,0,0.2,1.3,18,12,,1.4,232,https://media.istockphoto.com/photos/bitter-orange-daidai-picture-id462608983?k=6&m=462608983&s=612x612&w=0&h=IOiQVfraJnrIw58RRUVV_0wv9I2OCps17iijoEfohw0=
Veg,257,Mango,Fruit,Snacks,,1 fruit(336g),202,0,1.3,2.8,50,46,,3.4,564,https://momobud.sg/wp-content/uploads/2021/02/Palmer-Mango.jpg
Veg,258,Peach,Fruit,Snacks,,1 large(175g),68,0,0.4,1.6,17,15,,0,333,https://th.bing.com/th/id/OIP.9LmEKGScy0wJ3GDGqIe9pwHaGM?pid=ImgDet&rs=1
Veg,259,Grapes,Fruit,Snacks,,10 grapes(49g),34,0,0.1,0.4,8.9,7.6,,1,94,https://www.grapesfromcalifornia.com/wp-content/uploads/2017/03/green-grapes-2_450x450_acf_cropped.jpg
Veg,260,Pineapple,Fruit,Snacks,,1 chunk(166g),82,0,0.2,0.9,22,16.2,,1.7,180,https://th.bing.com/th/id/OIP.n_QeNs3Uw_wQpJRgcKBW7gHaGu?pid=ImgDet&rs=1
Veg,261,Pomegranate,Fruit,Snacks,,1 pomegranate(282g),234,0,3.3,4.7,53,39,,8.5,666,https://th.bing.com/th/id/OIP.1HUEpqFntmyOyyLZD-aflAHaHa?pid=ImgDet&w=1800&h=1800&rs=1
Veg,262,Cherry,Fruit,Snacks,,6 cherry(49.2g),31,0,0.1,0.5,7.8,6.6,,0,108,https://img.thrfun.com/img/003/806/cherries_tx2.jpg
Veg,263,Guava,Fruit,Snacks,,1 guava(165g),112,0,1.6,4.2,24,15,,3.3,688,https://image.izettle.com/product/1600x1600/8nIcXJ9GEeqZsR864GeZmw-hjnxHOj9Eeq8eznn4uU3Wg.jpeg
Veg,264,Apricot,Fruit,Snacks,,1 apricot(35g),17,0,0.1,0.5,3.9,3.2,,0.3,91,https://cdn.shopify.com/s/files/1/2971/2126/products/Apricot_Kernel_57ca46cf-ffcc-4f0c-a8e0-931f827efc05_2000x.jpg?v=1528753409
Veg,265,Grapefruit,Fruit,Snacks,,1 fruit(246g),104,0,0.3,1.9,26,17,,0,332,https://th.bing.com/th/id/OIP.5hFx6pyGoWHrq8wEpLw5AQHaHa?pid=ImgDet&rs=1
Veg,266,Kiwi,Fruit,Snacks,,1 fruit(69g),42,0,0.4,0.8,10,6.2,,2.1,215,https://fruituncle.in/product-images/2020/01/31/538/large/kiwi-large-size-1pc-1.jpg
Veg,267,Plum,Fruit,Snacks,,1 fruit(66g),30,0,0.2,0.5,7.5,6.5,,0,104,https://th.bing.com/th/id/OIP.1piCGvXCCzSasxcoem_7BQHaHa?pid=ImgDet&w=500&h=500&rs=1
Veg,268,Strawberry,Fruit,Snacks,,5 large(90g),29,0,0.3,0.6,6.9,4.4,,0.9,138,https://yt3.ggpht.com/a/AGF-l7-1kUFzo-lRJOPZznJEyG9Q28NsuJB_fVulKQ=s900-c-k-c0xffffffff-no-rj-mo
Veg,269,Banana,Fruit,Snacks,,1 meduim(118g),105,0,0.4,1.3,27,14,,1.2,422,https://th.bing.com/th/id/OIP.dBLIvc3EOdJNS5f1emKwYwHaHa?pid=ImgDet&rs=1
Veg,270,Pear,Fruit,Snacks,,1 meduim(178g),101,0,0.3,0.6,27,17,,1.8,206,https://shop2.arborday.org/data/default/images/catalog/600/Turnkey/1/1-894.jpg
Veg,271,Litchi,Fruit,Snacks,,1 fruit(190g),125,0,0.8,1.6,31,29,,1.9,325,https://th.bing.com/th/id/OIP.BlQTfbebQkoIQeqrHPBLeQHaHa?pid=ImgDet&rs=1
Veg,272,Blackberry,Fruit,Snacks,,1 blackberry(6.5g),3,0,0,0.1,0.6,0.3,,0.1,11,https://fruitlayer.com/media/k2/items/cache/d61d44254608dd06ccdd2ff02982d14d_XL.jpg
Veg,273,Date,Fruit,Snacks,,1 date(7.1g),20,0,0,0.2,5.3,4.5,,0.1,47,https://uaemoments.awicdn.com/site-images/sites/default/files/e7awi-prod/article/a/4/292305/de5db78e9e261ad1cd62eec7a03665b64a81a7ee-170718172220.jpg?preset=inner-img4&rnd=12344&save-png=1
Veg,274,Dragonfruit,Fruit,Snacks,,1 fruit(198g),61,0,0.5,1.1,15,9,,6.9,312,https://th.bing.com/th/id/OIP.e1PJKX6qVOaKpS6S7WYQDwHaHa?pid=ImgDet&rs=1
Veg,275,Papaya,Fruit,Snacks,,1 piece(145g),62,0,0.4,0.7,16,11,,12,264,https://th.bing.com/th/id/OIP.nak1Z4i2oAWflE6i3F7qegAAAA?pid=ImgDet&w=200&h=200&rs=1
Veg,276,Fig,Fruit,Snacks,,1 medium(50g),37,0,0.1,0.4,9.6,8.1,,0,116,https://th.bing.com/th/id/OIP.NfwAuSyvAQH9hIrpk1HXhwHaHa?pid=ImgDet&rs=1
Veg,277,Custard Apple,Fruit,Snacks,,1 pulp(250g),235,0,0.7,5.2,59,,,23,618,https://jooinn.com/images/custard-apple-1.jpg
Veg,278,Watermelon,Fruit,Snacks,,1 wedge(286g),86,0,0.4,1.7,22,18,,2.9,320,https://th.bing.com/th/id/OIP.xPvL_Rc3HpbkWkk8S01rVQHaHa?pid=ImgDet&rs=1
Veg,279,Melon,Fruit,Snacks,,1 fruit(177g),60,0,0.3,473,14,14,,28,473,https://www.globalfoodcorridors.com/wp-content/uploads/2019/10/Honeydew-Melon.jpg
Veg,280,Avacado,Fruit,Snacks,,1 avacado(201g),322,0,29,4,17,1.3,,14,975,https://cdn.shopify.com/s/files/1/2971/2126/products/Apricot_Kernel_57ca46cf-ffcc-4f0c-a8e0-931f827efc05_2000x.jpg?v=1528753409
Veg,282,Chickoo,Fruit,Snacks,,1 chickoo(170g),141,0,1.9,0.8,34,,,20,328,https://fruitznveggies.com/wp-content/uploads/2020/09/Chiku.jpg
Veg,283,Raspberry,Fruit,Snacks,,1 raspberry(2g),1,0,0,0,0.2,0.1,,0,3,https://www.kirbysproduce.com/wp-content/uploads/2020/04/raspberries-1.jpg
Veg,284,Green Apple,Fruit,Snacks,,1 medium(182g),95,0,0.3,0.5,25,19,,1.8,195,https://qbuypanda.com/image/cache/catalog/Seller_19/green%20apple-1000x1000.jpg
Veg,285,Saag Paneer,Vegetable,Dinner,"salt, spinach, jalapeno, onion, fresh ginger, sugar, oil, pepper, paneer, bay leaf, fenugreek, cumin seed, garam masala, light cream",1 cup(200g),366,56,30,15,10,4.5,,871,559,https://images.squarespace-cdn.com/content/v1/6057bede2adaca3d2461a22d/1622891136732-CMUKA82PDT6T9WNUK1JS/Saag+paneer+pan+%281%29.jpeg?format=1000w
Veg,286,Paneer Kabab,Starters,Lunch,"marinade, onion, green bell pepper, paneer, red bell pepper",1 skewer(178g),280,41,21,13,12,6.9,,1074,313,https://kebabistaan.com/wp-content/uploads/2019/08/panneer-tikka-kebab.jpg
Veg,287,Matar Paneer,Curry,Dinner,"tomatoe, garlic, green chilie, onion, green pea, ginger, oil, paneer, chili powder, turmeric, ground coriander, cumin seed, masala, water",1 serving(440g),599,69,46,23,25,9.2,,1026,455,"https://static.wixstatic.com/media/05c508_c970fdc02c544518836d416827b20c5e~mv2.jpg/v1/fill/w_1000,h_1000,al_c,q_90,usm_0.66_1.00_0.01/05c508_c970fdc02c544518836d416827b20c5e~mv2.jpg"
Veg,288,Paneer Korma,Curry,Lunch,"curry sauce, paneer",1 cup(236g),367,62,29,17,10,4.1,,633,265,https://www.whiskaffair.com/wp-content/uploads/2019/12/Paneer-Korma-2-3.jpg
Veg,289,Shahi Paneer,Curry,Dinner,"salt, tomato, heavy cream, garlic, clove, cilantro, onion, white sugar, oil, paneer, ground cumin, chili powder, ground turmeric, ground coriander, water",1 cup(242g),310,52,25,12,12,7.2,,555,444,https://b.zmtcdn.com/data/dish_photos/9e2/fc7667d9588a675bb54e7944b00f49e2.jpg
Veg,290,Chilli Paneer,Starters,Dinner,"soy sauce, salt, salt, garlic, corn flour, orn flour, jalapeno, onion, sugar, vegetable oil, vinegar, ketchup, reen pepper, panee, green onion, chili powder, chili powder, chili sauce, water, water",1 cup(233g),366,49,27,15,17,6.7,,1418,322,https://indraprasthaindiancuisine.com/wp-content/uploads/2021/03/GUNTUR-CHILLI-PANEER.jpg
Veg,291,Paneer Masala,Curry,Dinner,"cashew, salt, tomato, cream, butter, jalapeno, ginger, sugar, paneer, bay leaf, chili powder, fenugreek, garam masala, water, water",1 cup(198g),201,41,16,8.2,6.9,3.7,,503,291,https://cuminindiancuisine.com/wp-content/uploads/2021/05/Paneer-Masala.png
Veg,292,Dal Fry,Curry,Lunch,"salt, tomato, lentil, jalapeno, onion, oil, lemon juice, cumin, chili powder, turmeric, fenugreek, cumin seed, garam masala, water, garlic paste, ginger paste, coriander",1 cup(200g),178,0,7.8,8.1,21,3.6,,376,452,https://www.cookwithmanali.com/wp-content/uploads/2019/07/Dal-Fry-Recipe-500x500.jpg
Veg,293,Khoya Paneer Curry,Curry,Lunch,"cashews, tomato, butter, milk, onion, sugar, paneer cheese, bay leaf, cumin, chili powder, fenugreek, garam masala, chili paste, ginger paste, coriander, khoya",1 cup(198g),289,52,19,13,17,11,,493,241,"https://res.cloudinary.com/swiggy/image/upload/f_auto,q_auto,fl_lossy/vwabejuuf5uzrtuzvogb"
Veg,294,Plain Rice,Rice,Dinner,"Water, salt",1 cup(158g),205,0,0.4,4.3,45,0.1,,1.6,55,https://www.seekpng.com/png/full/12-127011_white-rice-white-rice-png.png
Non-veg,295,Indian Chilli Chicken,Poultry,Dinner,"soy sauce ,garlic ,corn flour,egg, green chili pepper,fresh ginger, chili powder,boneless chicken, curry powder, curry powder,green bell pepper",1 cup(214g),277,90,12,21,21,4.4,,355,466,https://fitelo.co/wp-content/uploads/elementor/thumbs/chilli-chicken-p10mrpsol6m0k06409eo26o7t99l954hcfm9lpf18w.jpg
Veg,296,Aloo Jeera,Vegetable,Dinner,"salt, cilantro, jalapeno pepper, potato, lemon juice, chili powder, turmeric, cumin seed",1 cup(143g),172,0,5.6,3.5,28,1.8,,315,727,https://static.toiimg.com/thumb/53540469.cms?imgsize=115272&width=800&height=800
Veg,297,Aloo Gobi,Vegetable,Lunch,"salt, peanut oil, cauliflower, cilantro, potato, fresh ginger, cumin, turmeric, water, serrano pepper, coriander",1 cup(155g),111,0,5.5,2.5,15,1.7,,230,390,https://static.toiimg.com/thumb/52603313.cms?imgsize=371760&width=800&height=800
Veg,298,Carrot Halwa,Desserts,Lunch,"cashew, raisin, carrots, sugar, whole milk, cardamom, ghee",1 cup(228g),275,30,13,5.6,35,30,,103,443,https://www.vegrecipesofindia.com/wp-content/uploads/2021/11/gajar-halwa-carrot-halwa-500x500.jpg
Veg,299,Suji Halwa,Desserts,Lunch,"cashew, almond, semolina, sugar, whole milk, cardamom, ghee",1 serving(122g),318,31,13,4.9,46,30,,52,155,https://www.cookwithmanali.com/wp-content/uploads/2019/09/Sooji-Halwa-500x500.jpg
